idcredito,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
2,48,2,1,5951,2,3.0,2,1,3,2.0,22,3,1.0,1,4,1,0,0,0
3,12,1,2,2096,2,4.0,2,4,3,3.0,49,3,1.0,1,3,2,0,0,1
4,42,2,3,7882,2,4.0,2,4,4,4.0,45,3,2.0,1,4,2,0,0,1
5,24,3,4,4870,2,3.0,3,4,3,4.0,53,3,2.0,2,4,2,0,0,0
6,36,2,2,9055,1,3.0,2,4,3,4.0,35,3,2.0,1,3,2,1,0,1
7,24,2,3,2835,3,2.0,3,4,3,4.0,53,3,1.0,1,4,1,0,0,1
9,12,2,1,3059,4,4.0,2,2,3,4.0,61,3,1.0,1,3,1,0,0,1
11,12,2,4,1295,2,1.0,3,1,3,1.0,25,3,3.0,1,4,1,0,0,0
13,12,2,1,1567,2,3.0,1,1,3,1.0,22,3,1.0,1,4,1,1,0,1
14,24,1,4,1199,2,2.0,4,4,3,4.0,60,3,1.0,2,3,1,0,0,0
16,24,2,1,1282,5,3.0,4,1,3,2.0,32,3,1.0,1,3,1,0,0,0
17,24,1,1,2424,1,2.0,4,4,3,4.0,53,3,1.0,2,4,1,0,0,1
18,30,4,6,8072,1,1.0,2,4,3,3.0,25,1,1.0,3,4,1,0,0,1
19,24,2,5,12579,2,2.0,4,1,3,2.0,44,3,2.0,1,1,1,1,0,0
20,24,2,1,3430,3,2.0,3,4,3,2.0,31,3,1.0,1,4,2,1,0,1
21,9,1,4,2134,2,3.0,4,4,3,4.0,48,3,1.0,3,4,1,1,0,1
22,6,2,1,2647,3,3.0,2,4,3,3.0,44,3,3.0,1,4,2,0,0,1
23,10,1,4,2241,2,1.0,1,4,3,3.0,48,3,3.0,2,3,2,0,1,1
24,12,1,5,1804,5,1.0,3,4,3,4.0,44,3,1.0,1,4,1,0,0,1
25,10,1,3,2069,1,3.0,2,3,3,1.0,26,3,1.0,2,4,1,0,1,1
26,6,2,3,1374,2,3.0,1,4,3,2.0,36,1,1.0,1,3,1,1,0,1
27,6,4,1,426,2,2.0,4,3,3,4.0,39,3,1.0,1,3,1,0,0,1
28,12,5,1,409,4,3.0,3,1,3,3.0,42,3,3.0,2,4,1,0,0,1
29,7,2,1,2415,2,3.0,3,4,4,2.0,34,3,1.0,1,4,1,0,0,1
30,60,3,6,6836,2,2.0,3,4,3,4.0,63,3,1.0,2,4,1,1,0,0
31,18,2,6,1913,4,1.0,3,3,3,3.0,36,1,1.0,1,4,1,1,0,1
32,24,2,3,4020,2,3.0,2,4,3,2.0,27,2,1.0,1,4,1,0,0,1
33,18,2,4,5866,5,3.0,2,4,3,2.0,30,3,1.0,2,4,1,1,0,1
34,12,1,6,1264,1,2.0,4,4,3,4.0,57,3,3.0,1,3,1,0,0,1
36,45,1,1,4746,2,1.0,4,4,3,2.0,25,3,1.0,2,3,1,0,0,0
37,48,1,2,6110,2,3.0,1,4,3,3.0,31,1,2.0,1,4,1,1,0,1
38,18,2,1,2100,2,3.0,4,4,2,2.0,37,2,1.0,1,4,1,0,0,0
39,10,2,7,1225,2,3.0,2,4,3,2.0,37,3,1.0,1,4,1,1,0,1
40,9,2,1,458,2,3.0,4,4,3,3.0,24,3,1.0,1,4,1,0,0,1
41,30,2,1,2333,3,2.0,4,4,3,2.0,30,1,1.0,1,1,1,0,0,1
42,12,2,1,1158,3,3.0,3,2,3,1.0,26,3,1.0,1,4,1,1,0,1
43,18,3,8,6204,2,3.0,2,4,3,4.0,44,3,1.0,1,3,2,1,0,1
44,30,1,5,6187,5,4.0,1,3,3,4.0,24,3,3.0,2,4,1,0,0,1
46,11,1,4,1393,2,1.0,4,1,3,4.0,35,3,1.0,2,1,1,0,0,1
47,36,2,1,2299,3,2.0,4,4,3,4.0,39,3,1.0,1,4,1,0,0,1
48,6,2,5,1352,3,5.0,1,1,3,2.0,23,3,3.0,1,2,1,1,0,1
49,11,1,4,7228,2,3.0,1,4,3,4.0,39,3,1.0,2,3,1,0,0,1
50,12,2,1,2073,5,3.0,4,1,2,2.0,28,3,1.0,1,4,1,0,0,1
51,24,3,3,2333,1,1.0,4,4,3,2.0,29,1,1.0,1,3,1,0,0,1
52,27,3,5,5965,2,2.0,1,4,3,2.0,30,3,1.0,2,1,1,1,0,1
53,12,2,1,1262,2,3.0,3,4,3,2.0,25,3,1.0,1,4,1,0,0,1
54,18,2,5,3378,1,3.0,2,4,3,1.0,31,3,1.0,1,4,1,1,0,1
55,36,3,4,2225,2,2.0,4,4,3,4.0,57,1,2.0,2,4,1,1,0,0
57,12,2,1,6468,1,5.0,2,4,3,1.0,52,3,1.0,1,1,1,1,0,0
58,36,1,1,9566,2,3.0,2,1,3,2.0,31,2,1.0,2,4,1,0,0,1
59,18,2,4,1961,2,2.0,3,1,3,2.0,23,3,1.0,1,1,1,0,0,1
60,36,1,3,6229,2,1.0,4,1,2,4.0,23,3,3.0,2,3,1,1,0,0
61,9,2,6,1391,2,3.0,2,3,3,1.0,27,1,1.0,1,4,1,1,0,1
62,15,1,1,1537,1,2.0,4,4,4,4.0,50,3,1.0,2,4,1,1,0,1
63,36,4,6,1953,2,2.0,4,4,3,4.0,61,3,2.0,1,1,1,1,0,0
64,48,4,6,14421,2,3.0,2,4,3,2.0,25,3,1.0,1,4,1,1,0,0
65,24,2,1,3181,2,1.0,4,1,3,4.0,26,3,1.0,1,4,1,1,0,1
66,27,2,8,5190,1,2.0,4,4,3,4.0,48,3,1.0,4,4,2,1,0,1
67,12,2,1,2171,2,1.0,2,1,3,2.0,29,1,1.0,1,4,1,0,0,1
68,12,2,4,1007,4,3.0,4,3,3,1.0,22,3,1.0,1,4,1,0,0,1
70,36,2,1,2394,1,3.0,4,1,3,4.0,25,3,1.0,1,4,1,0,0,1
35,12,2,3,1474,2,1.0,4,1,3,4.0,33,1,1.0,1,1,1,1,0,1
8,36,2,5,6948,2,3.0,2,4,3,2.0,35,3,1.0,1,1,1,1,0,1
12,48,2,6,4308,2,1.0,3,1,3,4.0,24,3,1.0,1,4,1,0,0,0
1,6,2,1,1169,1,3.0,4,4,3,4.0,67,3,1.0,2,4,1,1,0,1
69,36,2,2,1819,2,3.0,4,4,3,4.0,37,2,2.0,1,4,1,1,0,0
10,30,1,4,5234,2,5.0,4,3,3,2.0,28,3,1.0,2,1,1,0,0,0
71,36,2,5,8133,2,3.0,1,1,3,2.0,30,1,1.0,1,4,1,0,0,1
72,7,1,1,730,1,2.0,4,4,3,2.0,46,3,3.0,2,3,1,1,0,1
73,8,1,9,1164,2,2.0,3,4,3,4.0,51,1,2.0,2,1,2,1,0,1
74,42,1,6,5954,2,4.0,2,1,3,1.0,41,1,1.0,2,3,1,0,0,1
76,12,1,5,1526,2,2.0,4,4,3,4.0,66,3,2.0,2,1,1,0,0,1
77,42,2,1,3965,2,1.0,4,4,3,3.0,34,3,1.0,1,4,1,0,0,0
79,54,4,5,9436,1,3.0,2,4,3,2.0,39,3,1.0,1,3,2,0,0,1
80,30,2,3,3832,2,1.0,2,3,3,1.0,22,3,1.0,1,4,1,0,0,1
81,24,2,1,5943,1,1.0,1,1,3,1.0,44,3,1.0,2,4,1,1,0,0
82,15,2,1,1213,3,2.0,4,4,3,3.0,47,2,1.0,1,4,1,1,0,1
83,18,2,6,1568,5,3.0,3,1,3,4.0,24,3,3.0,1,3,1,0,0,1
84,24,2,9,1755,2,2.0,4,1,4,4.0,58,3,1.0,1,3,1,1,0,1
85,10,2,1,2315,2,2.0,3,4,3,4.0,52,3,1.0,1,3,1,0,0,1
86,12,1,6,1412,2,3.0,4,1,4,2.0,29,3,1.0,2,1,1,1,0,1
87,18,1,3,1295,2,1.0,4,1,3,1.0,27,3,1.0,2,4,1,0,0,1
88,36,2,2,12612,5,3.0,1,4,3,4.0,47,3,2.0,1,4,2,1,0,0
89,18,2,4,2249,5,4.0,4,4,3,3.0,30,3,1.0,1,1,2,1,0,1
90,12,4,8,1108,2,4.0,4,4,3,3.0,28,3,1.0,2,4,1,0,0,0
91,12,1,1,618,2,2.0,4,4,3,4.0,56,3,1.0,1,4,1,0,0,1
92,12,1,5,1409,2,2.0,4,4,3,3.0,54,3,1.0,1,4,1,0,0,1
93,12,1,1,797,1,2.0,4,1,3,3.0,33,1,1.0,1,3,2,0,0,0
94,24,1,3,3617,1,2.0,4,4,2,4.0,20,3,3.0,2,4,1,0,0,1
96,54,4,6,15945,2,1.0,3,4,3,4.0,58,3,3.0,1,4,1,1,0,0
97,12,1,2,2012,1,4.0,4,1,3,2.0,61,3,1.0,1,4,1,0,0,1
98,18,2,6,2622,5,3.0,4,4,3,4.0,34,3,1.0,1,4,1,0,0,1
99,36,1,1,2337,2,2.0,4,4,3,4.0,36,3,1.0,1,4,1,0,0,1
100,20,3,5,7057,1,4.0,3,4,3,4.0,36,1,3.0,2,1,2,1,0,1
101,24,2,4,1469,5,2.0,4,3,3,4.0,41,3,3.0,1,3,1,0,0,1
102,36,2,1,2323,2,4.0,4,4,3,4.0,24,3,3.0,1,4,1,0,0,1
103,6,3,1,932,2,3.0,3,1,3,2.0,24,3,1.0,1,4,1,0,0,1
104,9,1,3,1919,2,4.0,4,4,3,3.0,35,3,3.0,1,4,1,1,0,1
