,idcredito,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
0,2,3,2,1,5951,2,3.0,2,1,3,2.0,1,3,1.0,1,4,1,0,0,0
1,3,1,1,2,2096,2,4.0,2,4,3,3.0,3,3,1.0,1,3,2,0,0,1
2,4,3,2,3,7882,2,4.0,2,4,4,4.0,2,3,2.0,1,4,2,0,0,1
3,5,2,3,4,4870,2,3.0,3,4,3,4.0,3,3,2.0,2,4,2,0,0,0
4,6,2,2,2,9055,1,3.0,2,4,3,4.0,2,3,2.0,1,3,2,1,0,1
5,7,2,2,3,2835,3,2.0,3,4,3,4.0,3,3,1.0,1,4,1,0,0,1
6,9,1,2,1,3059,4,4.0,2,2,3,4.0,3,3,1.0,1,3,1,0,0,1
7,11,1,2,4,1295,2,1.0,3,1,3,1.0,1,3,3.0,1,4,1,0,0,0
8,13,1,2,1,1567,2,3.0,1,1,3,1.0,1,3,1.0,1,4,1,1,0,1
9,14,2,1,4,1199,2,2.0,4,4,3,4.0,3,3,1.0,2,3,1,0,0,0
10,16,2,2,1,1282,5,3.0,4,1,3,2.0,1,3,1.0,1,3,1,0,0,0
11,17,2,1,1,2424,1,2.0,4,4,3,4.0,3,3,1.0,2,4,1,0,0,1
12,18,2,4,6,8072,1,1.0,2,4,3,3.0,1,1,1.0,3,4,1,0,0,1
13,19,2,2,5,12579,2,2.0,4,1,3,2.0,2,3,2.0,1,1,1,1,0,0
14,20,2,2,1,3430,3,2.0,3,4,3,2.0,1,3,1.0,1,4,2,1,0,1
15,21,1,1,4,2134,2,3.0,4,4,3,4.0,3,3,1.0,3,4,1,1,0,1
16,22,1,2,1,2647,3,3.0,2,4,3,3.0,2,3,3.0,1,4,2,0,0,1
17,23,1,1,4,2241,2,1.0,1,4,3,3.0,3,3,3.0,2,3,2,0,1,1
18,24,1,1,5,1804,5,1.0,3,4,3,4.0,2,3,1.0,1,4,1,0,0,1
19,25,1,1,3,2069,1,3.0,2,3,3,1.0,1,3,1.0,2,4,1,0,1,1
20,26,1,2,3,1374,2,3.0,1,4,3,2.0,2,1,1.0,1,3,1,1,0,1
21,27,1,4,1,426,2,2.0,4,3,3,4.0,2,3,1.0,1,3,1,0,0,1
22,28,1,5,1,409,4,3.0,3,1,3,3.0,2,3,3.0,2,4,1,0,0,1
23,29,1,2,1,2415,2,3.0,3,4,4,2.0,2,3,1.0,1,4,1,0,0,1
24,30,4,3,6,6836,2,2.0,3,4,3,4.0,4,3,1.0,2,4,1,1,0,0
25,31,1,2,6,1913,4,1.0,3,3,3,3.0,2,1,1.0,1,4,1,1,0,1
26,32,2,2,3,4020,2,3.0,2,4,3,2.0,1,2,1.0,1,4,1,0,0,1
27,33,1,2,4,5866,5,3.0,2,4,3,2.0,1,3,1.0,2,4,1,1,0,1
28,34,1,1,6,1264,1,2.0,4,4,3,4.0,3,3,3.0,1,3,1,0,0,1
29,36,3,1,1,4746,2,1.0,4,4,3,2.0,1,3,1.0,2,3,1,0,0,0
30,37,3,1,2,6110,2,3.0,1,4,3,3.0,1,1,2.0,1,4,1,1,0,1
31,38,1,2,1,2100,2,3.0,4,4,2,2.0,2,2,1.0,1,4,1,0,0,0
32,39,1,2,7,1225,2,3.0,2,4,3,2.0,2,3,1.0,1,4,1,1,0,1
33,40,1,2,1,458,2,3.0,4,4,3,3.0,1,3,1.0,1,4,1,0,0,1
34,41,2,2,1,2333,3,2.0,4,4,3,2.0,1,1,1.0,1,1,1,0,0,1
35,42,1,2,1,1158,3,3.0,3,2,3,1.0,1,3,1.0,1,4,1,1,0,1
36,43,1,3,8,6204,2,3.0,2,4,3,4.0,2,3,1.0,1,3,2,1,0,1
37,44,2,1,5,6187,5,4.0,1,3,3,4.0,1,3,3.0,2,4,1,0,0,1
38,46,1,1,4,1393,2,1.0,4,1,3,4.0,2,3,1.0,2,1,1,0,0,1
39,47,2,2,1,2299,3,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
40,48,1,2,5,1352,3,5.0,1,1,3,2.0,1,3,3.0,1,2,1,1,0,1
41,49,1,1,4,7228,2,3.0,1,4,3,4.0,2,3,1.0,2,3,1,0,0,1
42,50,1,2,1,2073,5,3.0,4,1,2,2.0,1,3,1.0,1,4,1,0,0,1
43,51,2,3,3,2333,1,1.0,4,4,3,2.0,1,1,1.0,1,3,1,0,0,1
44,52,2,3,5,5965,2,2.0,1,4,3,2.0,1,3,1.0,2,1,1,1,0,1
45,53,1,2,1,1262,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,0,0,1
46,54,1,2,5,3378,1,3.0,2,4,3,1.0,1,3,1.0,1,4,1,1,0,1
47,55,2,3,4,2225,2,2.0,4,4,3,4.0,3,1,2.0,2,4,1,1,0,0
48,57,1,2,1,6468,1,5.0,2,4,3,1.0,3,3,1.0,1,1,1,1,0,0
49,58,2,1,1,9566,2,3.0,2,1,3,2.0,1,2,1.0,2,4,1,0,0,1
50,59,1,2,4,1961,2,2.0,3,1,3,2.0,1,3,1.0,1,1,1,0,0,1
51,60,2,1,3,6229,2,1.0,4,1,2,4.0,1,3,3.0,2,3,1,1,0,0
52,61,1,2,6,1391,2,3.0,2,3,3,1.0,1,1,1.0,1,4,1,1,0,1
53,62,1,1,1,1537,1,2.0,4,4,4,4.0,3,3,1.0,2,4,1,1,0,1
54,63,2,4,6,1953,2,2.0,4,4,3,4.0,3,3,2.0,1,1,1,1,0,0
55,64,3,4,6,14421,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,1,0,0
