,duracao,historicocredito,proposito,valor,investimentos,emprego,tempoparcelamento,estadocivil,fiadorterceiros,residenciadesde,idade,outrosfinanciamentos,habitacao,emprestimoexistente,profissao,dependentes,socioempresa,estrangeiro,status
0,3,2,1,0.999998955228919,2,3.0,2,1,3,2.0,1,3,1.0,1,4,1,0,0,0
1,1,1,2,0.9999888466262008,2,4.0,2,4,3,3.0,3,3,1.0,1,3,2,0,0,1
2,3,2,3,0.9999989295951038,2,4.0,2,4,4,4.0,2,3,2.0,1,4,2,0,0,1
3,2,3,4,0.9999970906948679,2,3.0,3,4,3,4.0,3,3,2.0,2,4,2,0,0,0
4,2,2,2,0.9999993901925893,1,3.0,2,4,3,4.0,2,3,2.0,1,3,2,1,0,1
5,2,2,3,0.9999926592386871,3,2.0,3,4,3,4.0,3,3,1.0,1,4,1,0,0,1
6,1,2,1,0.9999945498598325,4,4.0,2,2,3,4.0,3,3,1.0,1,3,1,0,0,1
7,1,2,4,0.9999752547161714,2,1.0,3,1,3,1.0,1,3,3.0,1,4,1,0,0,0
8,1,2,1,0.9999873754625005,2,3.0,1,1,3,1.0,1,3,1.0,1,4,1,1,0,1
9,2,1,4,0.9999586141729587,2,2.0,4,4,3,4.0,3,3,1.0,2,3,1,0,0,0
10,2,2,1,0.9999710999408097,5,3.0,4,1,3,2.0,1,3,1.0,1,3,1,0,0,0
11,2,1,1,0.9999907247584404,1,2.0,4,4,3,4.0,3,3,1.0,2,4,1,0,0,1
12,2,4,6,0.9999990331087877,1,1.0,2,4,3,3.0,1,1,1.0,3,4,1,0,0,1
13,2,2,5,0.9999997092863606,2,2.0,4,1,3,2.0,2,3,2.0,1,1,1,1,0,0
14,2,2,1,0.9999960050898554,3,2.0,3,4,3,2.0,1,3,1.0,1,4,2,1,0,1
15,1,1,4,0.999985178051944,2,3.0,4,4,3,4.0,3,3,1.0,3,4,1,1,0,1
16,1,2,1,0.9999924357990225,3,3.0,2,4,3,3.0,2,3,3.0,1,4,2,0,0,1
17,1,1,4,0.9999896458873562,2,1.0,1,4,3,3.0,3,3,3.0,2,3,2,0,1,1
18,1,1,5,0.9999791059689922,5,1.0,3,4,3,4.0,2,3,1.0,1,4,1,0,0,1
19,1,1,3,0.9999908895948542,1,3.0,2,3,3,1.0,1,3,1.0,2,4,1,0,1,1
20,1,2,3,0.9999798721670716,2,3.0,1,4,3,2.0,2,1,1.0,1,3,1,1,0,1
21,1,4,1,0.999719089514018,2,2.0,4,3,3,4.0,2,3,1.0,1,3,1,0,0,1
22,1,5,1,0.9996295720833148,4,3.0,3,1,3,3.0,2,3,3.0,2,4,1,0,0,1
23,1,2,1,0.9999916842380001,2,3.0,3,4,4,2.0,2,3,1.0,1,4,1,0,0,1
24,4,3,6,0.9999982131783606,2,2.0,3,4,3,4.0,4,3,1.0,2,4,1,1,0,0
25,1,2,6,0.9999836050298665,4,1.0,3,3,3,3.0,2,1,1.0,1,4,1,1,0,1
26,2,2,3,0.999997277306236,2,3.0,2,4,3,2.0,1,2,1.0,1,4,1,0,0,1
27,1,2,4,0.9999982272619646,5,3.0,2,4,3,2.0,1,3,1.0,2,4,1,1,0,1
28,1,1,6,0.9999565026979857,1,2.0,4,4,3,4.0,3,3,3.0,1,3,1,0,0,1
29,3,1,1,0.9999980909744357,2,1.0,4,4,3,2.0,1,3,1.0,2,3,1,0,0,0
30,3,1,2,0.9999988213917189,2,3.0,1,4,3,3.0,1,1,2.0,1,4,1,1,0,1
31,1,2,1,0.9999902495757146,2,3.0,4,4,2,2.0,2,2,1.0,1,4,1,0,0,0
32,1,2,7,0.999955354926645,2,3.0,2,4,3,2.0,2,3,1.0,1,4,1,1,0,1
33,1,2,1,0.999764104014932,2,3.0,4,4,3,3.0,1,3,1.0,1,4,1,0,0,1
34,2,2,1,0.9999932022088412,3,2.0,4,4,3,2.0,1,1,1.0,1,1,1,0,0,1
35,1,2,1,0.9999709177139026,3,3.0,3,2,3,1.0,1,3,1.0,1,4,1,1,0,1
36,1,3,8,0.9999978955429354,2,3.0,2,4,3,4.0,2,3,1.0,1,3,2,1,0,1
37,2,1,5,0.9999980798911197,5,4.0,1,3,3,4.0,1,3,3.0,2,4,1,0,0,1
38,1,1,4,0.9999778409168475,2,1.0,4,1,3,4.0,2,3,1.0,2,1,1,0,0,1
39,2,2,1,0.9999894049458089,3,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
40,1,2,5,0.9999710063028407,3,5.0,1,1,3,2.0,1,3,3.0,1,2,1,1,0,1
41,1,1,4,0.9999990238124772,2,3.0,1,4,3,4.0,2,3,1.0,2,3,1,0,0,1
42,1,2,1,0.9999889468056875,5,3.0,4,1,2,2.0,1,3,1.0,1,4,1,0,0,1
43,2,3,3,0.9999922835990468,1,1.0,4,4,3,2.0,1,1,1.0,1,3,1,0,0,1
44,2,3,5,0.9999986650289617,2,2.0,1,4,3,2.0,1,3,1.0,2,1,1,1,0,1
45,1,2,1,0.999972688047107,2,3.0,3,4,3,2.0,1,3,1.0,1,4,1,0,0,1
46,1,2,5,0.9999955744300999,1,3.0,2,4,3,1.0,1,3,1.0,1,4,1,1,0,1
47,2,3,4,0.9999868706032297,2,2.0,4,4,3,4.0,3,1,2.0,2,4,1,1,0,0
48,1,2,1,0.9999989841063498,1,5.0,2,4,3,1.0,3,3,1.0,1,1,1,1,0,0
49,2,1,1,0.9999996448413664,2,3.0,2,1,3,2.0,1,2,1.0,2,4,1,0,0,1
50,1,2,4,0.9999912886804527,2,2.0,3,1,3,2.0,1,3,1.0,1,1,1,0,0,1
51,2,1,3,0.9999988402213853,2,1.0,4,1,2,4.0,1,3,3.0,2,3,1,1,0,0
52,1,2,6,0.9999741596191292,2,3.0,2,3,3,1.0,1,1,1.0,1,4,1,1,0,1
53,1,1,1,0.9999758725511928,1,2.0,4,4,4,4.0,3,3,1.0,2,4,1,1,0,1
54,2,4,6,0.9999807305064968,2,2.0,4,4,3,4.0,3,3,2.0,1,1,1,1,0,0
55,3,4,6,0.9999996706181965,2,3.0,2,4,3,2.0,1,3,1.0,1,4,1,1,0,0
56,2,2,1,0.9999957010824254,2,1.0,4,1,3,4.0,1,3,1.0,1,4,1,1,0,1
57,2,2,8,0.9999964545909719,1,2.0,4,4,3,4.0,3,3,1.0,4,4,2,1,0,1
58,1,2,1,0.9999945897540442,2,1.0,2,1,3,2.0,1,1,1.0,1,4,1,0,0,1
59,1,2,4,0.9999452734098125,4,3.0,4,3,3,1.0,1,3,1.0,1,4,1,0,0,1
60,2,2,1,0.9999920611438486,1,3.0,4,1,3,4.0,1,3,1.0,1,4,1,0,0,1
61,1,2,3,0.9999841213423992,2,1.0,4,1,3,4.0,1,1,1.0,1,1,1,1,0,1
62,2,2,5,0.9999989849771964,2,3.0,2,4,3,2.0,2,3,1.0,1,1,1,1,0,1
63,3,2,6,0.9999968209412682,2,1.0,3,1,3,4.0,1,3,1.0,1,4,1,0,0,0
64,1,2,1,0.9999553653909604,1,3.0,4,4,3,4.0,4,3,1.0,2,4,1,1,0,1
65,2,2,2,0.9999829245591143,2,3.0,4,4,3,4.0,2,2,2.0,1,4,1,1,0,0
66,2,1,4,0.9999980835803363,2,5.0,4,3,3,2.0,1,3,1.0,2,1,1,0,0,0
67,2,2,5,0.9999993725976466,2,3.0,1,1,3,2.0,1,1,1.0,1,4,1,0,0,1
68,1,1,1,0.9999146290607688,1,2.0,4,4,3,2.0,2,3,3.0,2,3,1,1,0,1
69,1,1,9,0.9999387463141126,2,2.0,3,4,3,4.0,3,1,2.0,2,1,2,1,0,1
70,3,1,6,0.9999985613618317,2,4.0,2,1,3,1.0,2,1,1.0,2,3,1,0,0,1
71,1,1,5,0.9999725177046047,2,2.0,4,4,3,4.0,4,3,2.0,2,1,1,0,0,1
72,3,2,1,0.9999967877975999,2,1.0,4,4,3,3.0,2,3,1.0,1,4,1,0,0,0
73,3,4,5,0.9999993149006993,1,3.0,2,4,3,2.0,2,3,1.0,1,3,2,0,0,1
74,2,2,3,0.9999974462486849,2,1.0,2,3,3,1.0,1,3,1.0,1,4,1,0,0,1
75,2,2,1,0.9999991647624489,1,1.0,1,1,3,1.0,2,3,1.0,2,4,1,1,0,0
76,1,2,1,0.9999666993443416,3,2.0,4,4,3,3.0,2,2,1.0,1,4,1,1,0,1
77,1,2,6,0.9999713266575904,5,3.0,3,1,3,4.0,1,3,3.0,1,3,1,0,0,1
78,2,2,9,0.9999711053830448,2,2.0,4,1,4,4.0,3,3,1.0,1,3,1,1,0,1
79,1,2,1,0.9999911368960055,2,2.0,3,4,3,4.0,3,3,1.0,1,3,1,0,0,1
80,1,1,6,0.9999731671434883,2,3.0,4,1,4,2.0,1,3,1.0,2,1,1,1,0,1
81,1,1,3,0.9999773415968898,2,1.0,4,1,3,1.0,1,3,1.0,2,4,1,0,0,1
82,2,2,2,0.9999996007862041,5,3.0,1,4,3,4.0,2,3,2.0,1,4,2,1,0,0
83,1,2,4,0.9999870504715772,5,4.0,4,4,3,3.0,1,3,1.0,1,1,2,1,0,1
84,1,4,8,0.999925476537732,2,4.0,4,4,3,3.0,1,3,1.0,2,4,1,0,0,0
85,1,1,1,0.9998612578150329,2,2.0,4,4,3,4.0,3,3,1.0,1,4,1,0,0,1
86,1,1,5,0.9999690234569169,2,2.0,4,4,3,3.0,3,3,1.0,1,4,1,0,0,1
87,1,1,1,0.9999527747955673,1,2.0,4,1,3,3.0,1,1,1.0,1,3,2,0,0,0
88,2,1,3,0.9999957195619001,1,2.0,4,4,2,4.0,1,3,3.0,2,4,1,0,0,1
89,3,4,6,0.9999996814073413,2,1.0,3,4,3,4.0,3,3,3.0,1,4,1,1,0,0
90,1,1,2,0.9999887604707481,1,4.0,4,1,3,2.0,3,3,1.0,1,4,1,0,0,1
91,1,2,6,0.9999880000135268,5,3.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
92,2,1,1,0.9999904790624512,2,2.0,4,4,3,4.0,2,3,1.0,1,4,1,0,0,1
93,1,3,5,0.9999987249340162,1,4.0,3,4,3,4.0,2,1,3.0,2,1,2,1,0,1
94,2,2,4,0.9999682585836414,5,2.0,4,3,3,4.0,2,3,3.0,1,3,1,0,0,1
95,2,2,1,0.9999885109059296,2,4.0,4,4,3,4.0,1,3,3.0,1,4,1,0,0,1
96,1,3,1,0.9999556799713831,2,3.0,3,1,3,2.0,1,3,1.0,1,4,1,0,0,1
97,1,1,3,0.9999833000839804,2,4.0,4,4,3,3.0,2,3,3.0,1,4,1,1,0,1
98,1,2,5,0.9999908834013376,1,1.0,2,3,3,4.0,1,3,3.0,1,4,1,1,0,1
99,2,1,9,0.9999994632180096,2,3.0,2,4,1,3.0,2,3,1.0,2,1,2,1,0,0
100,1,5,4,0.9999986692513482,2,2.0,2,4,3,4.0,2,1,1.0,2,1,2,1,0,0
101,1,2,4,0.9999985923942405,2,4.0,2,4,3,2.0,1,3,1.0,1,4,1,0,0,1
102,2,2,3,0.9999994464377392,1,1.0,1,1,3,2.0,1,3,1.0,1,4,1,1,1,1
103,1,2,6,0.9999720850681089,3,2.0,1,3,3,2.0,2,3,1.0,1,4,1,1,0,1
104,1,3,6,0.9999711862467371,5,2.0,1,2,3,2.0,1,1,1.0,2,4,2,0,0,1
